"","verb","model","is_trans","test","item_number","obj_exp","VB","VBD","VBN","total","percent_VBD","percent_VBN","vb_freq","total_freq","vbd_freq","vbn_freq"
"211","alerted","lstm","Trans","transf-nomod",2,4.0745565,0,2,0,2,1,0,"1","2","2","0"
"212","alerted","lstm","Trans","transf-nomod",3,2.63360179999999,0,2,0,2,1,0,"1","2","2","0"
"213","alerted","lstm","Trans","transf-nomod",4,0.210796999999999,0,2,0,2,1,0,"1","2","2","0"
"214","alerted","lstm","Trans","transf-mod",2,1.0906867,0,2,0,2,1,0,"1","2","2","0"
"215","alerted","lstm","Trans","transf-mod",3,3.5349503,0,2,0,2,1,0,"1","2","2","0"
"216","alerted","lstm","Trans","transf-mod",4,2.6438172,0,2,0,2,1,0,"1","2","2","0"
"217","alerted","lstm","Trans","transf-mod",5,-0.3640142,0,2,0,2,1,0,"1","2","2","0"
"218","alerted","lstm","Trans","transf-mod",6,0.960027199999999,0,2,0,2,1,0,"1","2","2","0"
"219","alerted","lstm","Trans","transf-mod",7,-1.1987614,0,2,0,2,1,0,"1","2","2","0"
"220","alerted","rnng","Trans","transf-mod",5,5.72603,0,2,0,2,1,0,"1","2","2","0"
"221","alerted","rnng","Trans","transf-mod",6,3.43366,0,2,0,2,1,0,"1","2","2","0"
"222","alerted","rnng","Trans","transf-mod",7,11.861,0,2,0,2,1,0,"1","2","2","0"
"223","alerted","rnng","Trans","transf-mod",8,3.43946,0,2,0,2,1,0,"1","2","2","0"
"224","alerted","rnng","Trans","transf-mod",9,1.43265,0,2,0,2,1,0,"1","2","2","0"
"225","alerted","rnng","Trans","transf-nomod",0,3.46067,0,2,0,2,1,0,"1","2","2","0"
"226","alerted","rnng","Trans","transf-nomod",1,5.96210000000001,0,2,0,2,1,0,"1","2","2","0"
"227","alerted","lstm","Trans","transf-nomod",5,4.6110577,0,2,0,2,1,0,"1","2","2","0"
"228","alerted","lstm","Trans","transf-nomod",6,2.876865,0,2,0,2,1,0,"1","2","2","0"
"229","alerted","lstm","Trans","transf-nomod",7,0.210796999999999,0,2,0,2,1,0,"1","2","2","0"
"230","alerted","rnng","Trans","transf-nomod",6,3.65611,0,2,0,2,1,0,"1","2","2","0"
"231","alerted","rnng","Trans","transf-nomod",7,5.52833,0,2,0,2,1,0,"1","2","2","0"
"232","alerted","rnng","Trans","transf-mod",4,3.17062,0,2,0,2,1,0,"1","2","2","0"
"233","alerted","rnng","Trans","transf-mod",0,9.46104,0,2,0,2,1,0,"1","2","2","0"
"234","alerted","rnng","Trans","transf-mod",1,6.71085,0,2,0,2,1,0,"1","2","2","0"
"235","alerted","rnng","Trans","transf-mod",2,6.28139,0,2,0,2,1,0,"1","2","2","0"
"236","alerted","rnng","Trans","transf-nomod",2,3.48219,0,2,0,2,1,0,"1","2","2","0"
"237","alerted","rnng","Trans","transf-nomod",3,-3.29666,0,2,0,2,1,0,"1","2","2","0"
"238","alerted","rnng","Trans","transf-nomod",4,5.52833,0,2,0,2,1,0,"1","2","2","0"
"239","alerted","rnng","Trans","transf-mod",3,2.90619,0,2,0,2,1,0,"1","2","2","0"
"240","alerted","rnng","Trans","transf-nomod",5,2.61465,0,2,0,2,1,0,"1","2","2","0"
"241","ambushed","5gram","Trans","transf-longmod",15,0,0,2,0,2,1,0,"1","2","2","0"
"242","ambushed","5gram","Trans","transf-longmod",16,0,0,2,0,2,1,0,"1","2","2","0"
"243","ambushed","5gram","Trans","transf-longmod",14,0,0,2,0,2,1,0,"1","2","2","0"
"244","ambushed","5gram","Trans","transf-longmod",19,0,0,2,0,2,1,0,"1","2","2","0"
"245","ambushed","5gram","Trans","transf-mod",0,0,0,2,0,2,1,0,"1","2","2","0"
"246","ambushed","5gram","Trans","transf-longmod",17,0,0,2,0,2,1,0,"1","2","2","0"
"247","ambushed","5gram","Trans","transf-longmod",18,0,0,2,0,2,1,0,"1","2","2","0"
"248","ambushed","5gram","Trans","transf-nomod",13,0.496589886903585,0,2,0,2,1,0,"1","2","2","0"
"249","ambushed","5gram","Trans","transf-nomod",14,-0.219826790575205,0,2,0,2,1,0,"1","2","2","0"
"250","ambushed","5gram","Trans","transf-mod",1,0,0,2,0,2,1,0,"1","2","2","0"
"251","ambushed","5gram","Trans","transf-nomod",17,0.275682929787443,0,2,0,2,1,0,"1","2","2","0"
"252","ambushed","5gram","Trans","transf-nomod",18,0.275682929787443,0,2,0,2,1,0,"1","2","2","0"
"253","ambushed","5gram","Trans","transf-nomod",15,0.258185922735862,0,2,0,2,1,0,"1","2","2","0"
"254","ambushed","5gram","Trans","transf-nomod",16,1.36530520082178,0,2,0,2,1,0,"1","2","2","0"
"255","ambushed","rnng","Trans","transf-longmod",9,0.929970000000004,0,2,0,2,1,0,"1","2","2","0"
"256","ambushed","rnng","Trans","transf-mod",0,2.14847,0,2,0,2,1,0,"1","2","2","0"
"257","ambushed","5gram","Trans","transf-nomod",19,-0.0262550024682042,0,2,0,2,1,0,"1","2","2","0"
"258","ambushed","rnng","Trans","transf-longmod",8,6.03471,0,2,0,2,1,0,"1","2","2","0"
"259","ambushed","5gram","Trans","transf-longmod",13,0,0,2,0,2,1,0,"1","2","2","0"
