"","verb","model","is_trans","test","item_number","obj_exp","VB","VBD","VBN","total","percent_VBD","percent_VBN","vbd_freq"
"166","alerted","actionLstm","Trans","transf-nomod",7,11.58573,0,2,0,2,1,0,"2"
"167","alerted","actionLstm","Trans","transf-nomod",8,12.37558,0,2,0,2,1,0,"2"
"168","alerted","actionLstm","Trans","transf-nomod",9,11.53152,0,2,0,2,1,0,"2"
"169","alerted","lstm","Trans","transf-nomod",8,6.38136643999999,0,2,0,2,1,0,"2"
"170","alerted","lstm","Trans","transf-nomod",9,0.222856360000002,0,2,0,2,1,0,"2"
"171","alerted","lstm","Trans","transf-nomod",4,0.210796999999999,0,2,0,2,1,0,"2"
"172","alerted","lstm","Trans","transf-mod",2,1.0906867,0,2,0,2,1,0,"2"
"173","alerted","lstm","Trans","transf-nomod",2,4.0745565,0,2,0,2,1,0,"2"
"174","alerted","lstm","Trans","transf-nomod",3,2.63360179999999,0,2,0,2,1,0,"2"
"175","alerted","lstm","Trans","transf-mod",5,-0.3640142,0,2,0,2,1,0,"2"
"176","alerted","lstm","Trans","transf-mod",3,3.5349503,0,2,0,2,1,0,"2"
"177","alerted","lstm","Trans","transf-mod",4,2.6438172,0,2,0,2,1,0,"2"
"178","alerted","lstm","Trans","transf-nomod",7,0.210796999999999,0,2,0,2,1,0,"2"
"179","alerted","lstm","Trans","transf-nomod",5,4.6110577,0,2,0,2,1,0,"2"
"180","alerted","lstm","Trans","transf-nomod",6,2.876865,0,2,0,2,1,0,"2"
"181","ambushed","rnng","Trans","transf-longmod",1,-0.000370000000000203,0,2,0,2,1,0,"2"
"182","ambushed","rnng","Trans","transf-longmod",5,1.358397,0,2,0,2,1,0,"2"
"183","ambushed","rnng","Trans","transf-longmod",0,-0.455469999999998,0,2,0,2,1,0,"2"
"184","ambushed","rnng","Trans","transf-mod",3,0.680660000000003,0,2,0,2,1,0,"2"
"185","ambushed","rnng","Trans","transf-longmod",2,-2.45972,0,2,0,2,1,0,"2"
"186","ambushed","rnng","Trans","transf-longmod",3,0.943015000000003,0,2,0,2,1,0,"2"
"187","ambushed","rnng","Trans","transf-longmod",4,8.98447,0,2,0,2,1,0,"2"
"188","ambushed","rnng","Trans","transf-mod",7,0.0351699999999937,0,2,0,2,1,0,"2"
"189","ambushed","rnng","Trans","transf-mod",4,1.36328,0,2,0,2,1,0,"2"
"190","ambushed","rnng","Trans","transf-mod",5,-0.661969999999997,0,2,0,2,1,0,"2"
"191","ambushed","rnng","Trans","transf-mod",6,-0.728479999999998,0,2,0,2,1,0,"2"
"192","ambushed","rnng","Trans","transf-longmod",8,6.03471,0,2,0,2,1,0,"2"
"193","ambushed","rnng","Trans","transf-mod",8,1.49585,0,2,0,2,1,0,"2"
"194","ambushed","rnng","Trans","transf-longmod",6,7.39855,0,2,0,2,1,0,"2"
"195","ambushed","rnng","Trans","transf-longmod",7,13.185016,0,2,0,2,1,0,"2"
"196","ambushed","rnng","Trans","transf-mod",2,-1.91721,0,2,0,2,1,0,"2"
"197","ambushed","actionLstm","Trans","transf-longmod",2,0.977550000000001,0,2,0,2,1,0,"2"
"198","ambushed","actionLstm","Trans","transf-longmod",3,-1.06727,0,2,0,2,1,0,"2"
"199","ambushed","actionLstm","Trans","transf-longmod",4,2.70856000000001,0,2,0,2,1,0,"2"
"200","ambushed","actionLstm","Trans","transf-longmod",5,-0.873440000000002,0,2,0,2,1,0,"2"
"201","ambushed","actionLstm","Trans","transf-longmod",6,-0.506540000000008,0,2,0,2,1,0,"2"
"202","ambushed","actionLstm","Trans","transf-longmod",7,15.44291,0,2,0,2,1,0,"2"
"203","ambushed","actionLstm","Trans","transf-longmod",8,18.38544,0,2,0,2,1,0,"2"
"204","ambushed","actionLstm","Trans","transf-longmod",9,1.01869,0,2,0,2,1,0,"2"
"205","ambushed","actionLstm","Trans","transf-mod",0,0.611670000000004,0,2,0,2,1,0,"2"
"206","ambushed","rnng","Trans","transf-longmod",9,0.929970000000004,0,2,0,2,1,0,"2"
"207","ambushed","rnng","Trans","transf-mod",0,2.14847,0,2,0,2,1,0,"2"
"208","ambushed","rnng","Trans","transf-mod",1,-1.67032,0,2,0,2,1,0,"2"
"209","ambushed","actionLstm","Trans","transf-mod",4,5.42796,0,2,0,2,1,0,"2"
